Date ,Open ,Close 
01-Jan-19,"10,881.70","10,910.10"
02-Jan-19,"10,868.85","10,792.50"
03-Jan-19,"10,796.80","10,672.25"
04-Jan-19,"10,699.70","10,727.35"
07-Jan-19,"10,804.85","10,771.80"
08-Jan-19,"10,786.25","10,802.15"
09-Jan-19,"10,862.40","10,855.15"
10-Jan-19,"10,859.35","10,821.60"
11-Jan-19,"10,834.75","10,794.95"
14-Jan-19,"10,807.00","10,737.60"
15-Jan-19,"10,777.55","10,886.80"
16-Jan-19,"10,899.65","10,890.30"
17-Jan-19,"10,920.85","10,905.20"
18-Jan-19,"10,914.85","10,906.95"
21-Jan-19,"10,919.35","10,961.85"
22-Jan-19,"10,949.80","10,922.75"
23-Jan-19,"10,931.05","10,831.50"
24-Jan-19,"10,844.05","10,849.80"
25-Jan-19,"10,859.75","10,780.55"
28-Jan-19,"10,792.45","10,661.55"
29-Jan-19,"10,653.70","10,652.20"
30-Jan-19,"10,702.25","10,651.80"
31-Jan-19,"10,690.55","10,830.95"
01-Feb-19,"10,851.35","10,893.65"
04-Feb-19,"10,876.75","10,912.25"
05-Feb-19,"10,908.65","10,934.35"
06-Feb-19,"10,965.10","11,062.45"
07-Feb-19,"11,070.45","11,069.40"
08-Feb-19,"11,023.50","10,943.60"
11-Feb-19,"10,930.90","10,888.80"
12-Feb-19,"10,879.70","10,831.40"
13-Feb-19,"10,870.55","10,793.65"
14-Feb-19,"10,786.10","10,746.05"
15-Feb-19,"10,780.25","10,724.40"
18-Feb-19,"10,738.65","10,640.95"
19-Feb-19,"10,636.70","10,604.35"
20-Feb-19,"10,655.45","10,735.45"
21-Feb-19,"10,744.10","10,789.85"
22-Feb-19,"10,782.70","10,791.65"
25-Feb-19,"10,813.25","10,880.10"
26-Feb-19,"10,775.30","10,835.30"
27-Feb-19,"10,881.20","10,806.65"
28-Feb-19,"10,865.70","10,792.50"
01-Mar-19,"10,842.65","10,863.50"
05-Mar-19,"10,864.85","10,987.45"
06-Mar-19,"11,024.85","11,053.00"
07-Mar-19,"11,077.95","11,058.20"
08-Mar-19,"11,038.85","11,035.40"
11-Mar-19,"11,068.75","11,168.05"
12-Mar-19,"11,231.35","11,301.20"
13-Mar-19,"11,326.20","11,341.70"
14-Mar-19,"11,382.50","11,343.25"
15-Mar-19,"11,376.85","11,426.85"
18-Mar-19,"11,473.85","11,462.20"
19-Mar-19,"11,500.30","11,532.40"
20-Mar-19,"11,553.35","11,521.05"
22-Mar-19,"11,549.20","11,456.90"
25-Mar-19,"11,395.65","11,354.25"
26-Mar-19,"11,375.20","11,483.25"
27-Mar-19,"11,531.45","11,445.05"
28-Mar-19,"11,463.65","11,570.00"
29-Mar-19,"11,625.45","11,623.90"
01-Apr-19,"11,665.20","11,669.15"
02-Apr-19,"11,711.55","11,713.20"
03-Apr-19,"11,735.30","11,643.95"
04-Apr-19,"11,660.20","11,598.00"
05-Apr-19,"11,638.40","11,665.95"
08-Apr-19,"11,704.35","11,604.50"
09-Apr-19,"11,612.05","11,671.95"
10-Apr-19,"11,646.85","11,584.30"
11-Apr-19,"11,592.55","11,596.70"
12-Apr-19,"11,612.85","11,643.45"
15-Apr-19,"11,667.00","11,690.35"
16-Apr-19,"11,736.20","11,787.15"
18-Apr-19,"11,856.15","11,752.80"
22-Apr-19,"11,727.05","11,594.45"
23-Apr-19,"11,612.95","11,575.95"
24-Apr-19,"11,601.50","11,726.15"
25-Apr-19,"11,735.70","11,641.80"
26-Apr-19,"11,683.75","11,754.65"
30-Apr-19,"11,748.75","11,748.15"
02-May-19,"11,725.55","11,724.75"
03-May-19,"11,722.60","11,712.25"
06-May-19,"11,605.80","11,598.25"
07-May-19,"11,651.50","11,497.90"
08-May-19,"11,478.70","11,359.45"
09-May-19,"11,322.40","11,301.80"
10-May-19,"11,314.15","11,278.90"
13-May-19,"11,258.70","11,148.20"
14-May-19,"11,151.65","11,222.05"
15-May-19,"11,271.70","11,157.00"
16-May-19,"11,180.35","11,257.10"
17-May-19,"11,261.90","11,407.15"
20-May-19,"11,651.90","11,828.25"
21-May-19,"11,863.65","11,709.10"
22-May-19,"11,727.95","11,737.90"
23-May-19,"11,901.30","11,657.05"
24-May-19,"11,748.00","11,844.10"
27-May-19,"11,855.50","11,924.75"
28-May-19,"11,958.35","11,928.75"
29-May-19,"11,905.80","11,861.10"
30-May-19,"11,865.30","11,945.90"
31-May-19,"11,999.80","11,922.80"
03-Jun-19,"11,953.75","12,088.55"
04-Jun-19,"12,052.65","12,021.65"
06-Jun-19,"12,039.80","11,843.75"
07-Jun-19,"11,865.20","11,870.65"
10-Jun-19,"11,934.90","11,922.70"
11-Jun-19,"11,959.85","11,965.60"
12-Jun-19,"11,962.45","11,906.20"
13-Jun-19,"11,873.90","11,914.05"
14-Jun-19,"11,910.10","11,823.30"
17-Jun-19,"11,844.00","11,672.15"
18-Jun-19,"11,677.05","11,691.50"
19-Jun-19,"11,744.45","11,691.45"
20-Jun-19,"11,653.65","11,831.75"
21-Jun-19,"11,827.60","11,724.10"
24-Jun-19,"11,725.80","11,699.65"
25-Jun-19,"11,681.00","11,796.45"
26-Jun-19,"11,768.15","11,847.55"
27-Jun-19,"11,860.85","11,841.55"
28-Jun-19,"11,861.15","11,788.85"
01-Jul-19,"11,839.90","11,865.60"
02-Jul-19,"11,890.30","11,910.30"
03-Jul-19,"11,932.15","11,916.75"
04-Jul-19,"11,928.80","11,946.75"
05-Jul-19,"11,964.75","11,811.15"
08-Jul-19,"11,770.40","11,558.60"
09-Jul-19,"11,531.60","11,555.90"
10-Jul-19,"11,536.15","11,498.90"
11-Jul-19,"11,561.45","11,582.90"
12-Jul-19,"11,601.15","11,552.50"
15-Jul-19,"11,614.75","11,588.35"
16-Jul-19,"11,596.65","11,662.60"
17-Jul-19,"11,670.75","11,687.50"
18-Jul-19,"11,675.60","11,596.90"
19-Jul-19,"11,627.95","11,419.25"
22-Jul-19,"11,392.85","11,346.20"
23-Jul-19,"11,372.25","11,331.05"
24-Jul-19,"11,322.45","11,271.30"
25-Jul-19,"11,290.40","11,252.15"
26-Jul-19,"11,247.45","11,284.30"
29-Jul-19,"11,307.50","11,189.20"
30-Jul-19,"11,213.70","11,085.40"
31-Jul-19,"11,034.05","11,118.00"
01-Aug-19,"11,060.20","10,980.00"
02-Aug-19,"10,930.30","10,997.35"
05-Aug-19,"10,895.80","10,862.60"
06-Aug-19,"10,815.40","10,948.25"
07-Aug-19,"10,958.10","10,855.50"
08-Aug-19,"10,899.20","11,032.45"
09-Aug-19,"11,087.90","11,109.65"
13-Aug-19,"11,139.40","10,925.85"
14-Aug-19,"11,003.25","11,029.40"
16-Aug-19,"11,043.65","11,047.80"
19-Aug-19,"11,094.80","11,053.90"
20-Aug-19,"11,063.90","11,017.00"
21-Aug-19,"11,018.15","10,918.70"
22-Aug-19,"10,905.30","10,741.35"
23-Aug-19,"10,699.60","10,829.35"
26-Aug-19,"11,000.30","11,057.85"
27-Aug-19,"11,106.55","11,105.35"
28-Aug-19,"11,101.30","11,046.10"
29-Aug-19,"10,996.05","10,948.30"
30-Aug-19,"10,987.80","11,023.25"
03-Sep-19,"10,960.95","10,797.90"
04-Sep-19,"10,790.40","10,844.65"
05-Sep-19,"10,860.95","10,847.90"
06-Sep-19,"10,883.80","10,946.20"
09-Sep-19,"10,936.70","11,003.05"
11-Sep-19,"11,028.50","11,035.70"
12-Sep-19,"11,058.30","10,982.80"
13-Sep-19,"10,986.80","11,075.90"
16-Sep-19,"10,994.85","11,003.50"
17-Sep-19,"11,000.10","10,817.60"
18-Sep-19,"10,872.80","10,840.65"
19-Sep-19,"10,845.20","10,704.80"
20-Sep-19,"10,746.80","11,274.20"
23-Sep-19,"11,542.70","11,600.20"
24-Sep-19,"11,590.70","11,588.20"
25-Sep-19,"11,564.85","11,440.20"
26-Sep-19,"11,469.85","11,571.20"
27-Sep-19,"11,556.35","11,512.40"
30-Sep-19,"11,491.15","11,474.45"
01-Oct-19,"11,515.40","11,359.90"
03-Oct-19,"11,322.25","11,314.00"
04-Oct-19,"11,388.45","11,174.75"
07-Oct-19,"11,196.20","11,126.40"
09-Oct-19,"11,152.95","11,313.30"
10-Oct-19,"11,280.50","11,234.55"
11-Oct-19,"11,257.70","11,305.05"
14-Oct-19,"11,335.90","11,341.15"
15-Oct-19,"11,360.85","11,428.30"
16-Oct-19,"11,464.95","11,464.00"
17-Oct-19,"11,466.30","11,586.35"
18-Oct-19,"11,580.30","11,661.85"
22-Oct-19,"11,657.15","11,588.35"
23-Oct-19,"11,596.20","11,604.10"
24-Oct-19,"11,661.65","11,582.60"
25-Oct-19,"11,646.15","11,583.90"
27-Oct-19,"11,662.25","11,627.15"
29-Oct-19,"11,643.95","11,786.85"
30-Oct-19,"11,883.90","11,844.10"
31-Oct-19,"11,890.45","11,877.45"
01-Nov-19,"11,886.60","11,890.60"
04-Nov-19,"11,928.90","11,941.30"
05-Nov-19,"11,974.60","11,917.20"
06-Nov-19,"11,911.50","11,966.05"
07-Nov-19,"12,021.10","12,012.05"
08-Nov-19,"11,987.15","11,908.15"
11-Nov-19,"11,879.20","11,913.45"
13-Nov-19,"11,908.30","11,840.45"
14-Nov-19,"11,858.75","11,872.10"
15-Nov-19,"11,904.20","11,895.45"
18-Nov-19,"11,915.15","11,884.50"
19-Nov-19,"11,919.45","11,940.10"
20-Nov-19,"12,004.75","11,999.10"
21-Nov-19,"12,025.65","11,968.40"
22-Nov-19,"11,967.30","11,914.40"
25-Nov-19,"11,922.45","12,073.75"
26-Nov-19,"12,110.20","12,037.70"
27-Nov-19,"12,068.50","12,100.70"
28-Nov-19,"12,132.10","12,151.15"
29-Nov-19,"12,146.20","12,056.05"
02-Dec-19,"12,137.05","12,048.20"
03-Dec-19,"12,067.65","11,994.20"
04-Dec-19,"11,969.95","12,043.20"
05-Dec-19,"12,071.25","12,018.40"
06-Dec-19,"12,047.35","11,921.50"
09-Dec-19,"11,939.10","11,937.50"
10-Dec-19,"11,950.50","11,856.80"
11-Dec-19,"11,867.35","11,910.15"
12-Dec-19,"11,944.30","11,971.80"
13-Dec-19,"12,026.40","12,086.70"
16-Dec-19,"12,131.35","12,053.95"
17-Dec-19,"12,082.45","12,165.00"
18-Dec-19,"12,197.00","12,221.65"
19-Dec-19,"12,223.40","12,259.70"
20-Dec-19,"12,266.45","12,271.80"
23-Dec-19,"12,235.45","12,262.75"
24-Dec-19,"12,269.25","12,214.55"
26-Dec-19,"12,211.85","12,126.55"
27-Dec-19,"12,172.90","12,245.80"
30-Dec-19,"12,274.90","12,255.85"
31-Dec-19,"12,247.10","12,168.45"
01-Jan-20,"12,202.15","12,182.50"
02-Jan-20,"12,198.55","12,282.20"
03-Jan-20,"12,261.10","12,226.65"
06-Jan-20,"12,170.60","11,993.05"
07-Jan-20,"12,079.10","12,052.95"
08-Jan-20,"11,939.10","12,025.35"
09-Jan-20,"12,153.15","12,215.90"
10-Jan-20,"12,271.00","12,256.80"
13-Jan-20,"12,296.70","12,329.55"
14-Jan-20,"12,333.10","12,362.30"
15-Jan-20,"12,349.40","12,343.30"
16-Jan-20,"12,347.10","12,355.50"
17-Jan-20,"12,328.40","12,352.35"
20-Jan-20,"12,430.50","12,224.55"
21-Jan-20,"12,195.30","12,169.85"
22-Jan-20,"12,218.35","12,106.90"
23-Jan-20,"12,123.75","12,180.35"
24-Jan-20,"12,174.55","12,248.25"
27-Jan-20,"12,197.10","12,119.00"
28-Jan-20,"12,148.10","12,055.80"
29-Jan-20,"12,114.90","12,129.50"
30-Jan-20,"12,147.75","12,035.80"
31-Jan-20,"12,100.40","11,962.10"
01-Feb-20,"11,939.00","11,661.85"
03-Feb-20,"11,627.45","11,707.90"
04-Feb-20,"11,786.25","11,979.65"
05-Feb-20,"12,005.85","12,089.15"
06-Feb-20,"12,120.00","12,137.95"
07-Feb-20,"12,151.15","12,098.35"
10-Feb-20,"12,102.35","12,031.50"
11-Feb-20,"12,108.40","12,107.90"
12-Feb-20,"12,151.00","12,201.20"
13-Feb-20,"12,219.55","12,174.65"
14-Feb-20,"12,190.15","12,113.45"
17-Feb-20,"12,131.80","12,045.80"
18-Feb-20,"12,028.25","11,992.50"
19-Feb-20,"12,090.60","12,125.90"
20-Feb-20,"12,119.00","12,080.85"
24-Feb-20,"12,012.55","11,829.40"
25-Feb-20,"11,877.50","11,797.90"
26-Feb-20,"11,738.55","11,678.50"
27-Feb-20,"11,661.25","11,633.30"
28-Feb-20,"11,382.00","11,201.75"
02-Mar-20,"11,387.35","11,132.75"
03-Mar-20,"11,217.55","11,303.30"
04-Mar-20,"11,351.35","11,251.00"
05-Mar-20,"11,306.05","11,269.00"
06-Mar-20,"10,942.65","10,989.45"
09-Mar-20,"10,742.05","10,451.45"
11-Mar-20,"10,334.30","10,458.40"
12-Mar-20,"10,039.95","9,590.15"
13-Mar-20,"9,107.60","9,955.20"
16-Mar-20,"9,587.80","9,197.40"
17-Mar-20,"9,285.40","8,967.05"
18-Mar-20,"9,088.45","8,468.80"
19-Mar-20,"8,063.30","8,263.45"
20-Mar-20,"8,284.45","8,745.45"
23-Mar-20,"7,945.70","7,610.25"
24-Mar-20,"7,848.30","7,801.05"
25-Mar-20,"7,735.15","8,317.85"
26-Mar-20,"8,451.00","8,641.45"
27-Mar-20,"8,949.10","8,660.25"
30-Mar-20,"8,385.95","8,281.10"
31-Mar-20,"8,529.35","8,597.75"
01-Apr-20,"8,584.10","8,253.80"
03-Apr-20,"8,356.55","8,083.80"
07-Apr-20,"8,446.30","8,792.20"
08-Apr-20,"8,688.90","8,748.75"
09-Apr-20,"8,973.05","9,111.90"
13-Apr-20,"9,103.95","8,993.85"
15-Apr-20,"9,196.40","8,925.30"
16-Apr-20,"8,851.25","8,992.80"
17-Apr-20,"9,323.45","9,266.75"
20-Apr-20,"9,390.20","9,261.85"
21-Apr-20,"9,016.95","8,981.45"
22-Apr-20,"9,026.75","9,187.30"
23-Apr-20,"9,232.35","9,313.90"
24-Apr-20,"9,163.90","9,154.40"
27-Apr-20,"9,259.70","9,282.30"
28-Apr-20,"9,389.80","9,380.90"
29-Apr-20,"9,408.60","9,553.35"
30-Apr-20,"9,753.50","9,859.90"
04-May-20,"9,533.50","9,293.50"
05-May-20,"9,429.40","9,205.60"
06-May-20,"9,226.80","9,270.90"
07-May-20,"9,234.05","9,199.05"
08-May-20,"9,376.95","9,251.50"
11-May-20,"9,348.15","9,239.20"
12-May-20,"9,168.85","9,196.55"
13-May-20,"9,584.20","9,383.55"
14-May-20,"9,213.95","9,142.75"
15-May-20,"9,182.40","9,136.85"
18-May-20,"9,158.30","8,823.25"
19-May-20,"8,961.70","8,879.10"
20-May-20,"8,889.15","9,066.55"
21-May-20,"9,079.45","9,106.25"
22-May-20,"9,067.90","9,039.25"
26-May-20,"9,099.75","9,029.05"
27-May-20,"9,082.20","9,314.95"
28-May-20,"9,364.95","9,490.10"
29-May-20,"9,422.20","9,580.30"
01-Jun-20,"9,726.85","9,826.15"
02-Jun-20,"9,880.85","9,979.10"
03-Jun-20,"10,108.30","10,061.55"
04-Jun-20,"10,054.25","10,029.10"
05-Jun-20,"10,093.80","10,142.15"
08-Jun-20,"10,326.75","10,167.45"
09-Jun-20,"10,181.15","10,046.65"
10-Jun-20,"10,072.60","10,116.15"
11-Jun-20,"10,094.10","9,902.00"
12-Jun-20,"9,544.95","9,972.90"
15-Jun-20,"9,919.35","9,813.70"
16-Jun-20,"10,014.80","9,914.00"
17-Jun-20,"9,876.70","9,881.15"
18-Jun-20,"9,863.25","10,091.65"
19-Jun-20,"10,119.00","10,244.40"
22-Jun-20,"10,318.75","10,311.20"
23-Jun-20,"10,347.95","10,471.00"
24-Jun-20,"10,529.25","10,305.30"
25-Jun-20,"10,235.55","10,288.90"
26-Jun-20,"10,378.90","10,383.00"
29-Jun-20,"10,311.95","10,312.40"
30-Jun-20,"10,382.60","10,302.10"
01-Jul-20,"10,323.80","10,430.05"
02-Jul-20,"10,493.05","10,551.70"
03-Jul-20,"10,614.95","10,607.35"
06-Jul-20,"10,723.85","10,763.65"
07-Jul-20,"10,802.85","10,799.65"
08-Jul-20,"10,818.65","10,705.75"
09-Jul-20,"10,755.55","10,813.45"
10-Jul-20,"10,764.10","10,768.05"
13-Jul-20,"10,851.85","10,802.70"
14-Jul-20,"10,750.85","10,607.35"
15-Jul-20,"10,701.00","10,618.20"
16-Jul-20,"10,706.20","10,739.95"
17-Jul-20,"10,752.00","10,901.70"
20-Jul-20,"10,999.45","11,022.20"
21-Jul-20,"11,126.10","11,162.25"
22-Jul-20,"11,231.20","11,132.60"
23-Jul-20,"11,135.00","11,215.45"
24-Jul-20,"11,149.95","11,194.15"
27-Jul-20,"11,225.00","11,131.80"
28-Jul-20,"11,154.10","11,300.55"
29-Jul-20,"11,276.90","11,202.85"
30-Jul-20,"11,254.30","11,102.15"
31-Jul-20,"11,139.50","11,073.45"
03-Aug-20,"11,057.55","10,891.60"
04-Aug-20,"10,946.65","11,095.25"
05-Aug-20,"11,155.75","11,101.65"
06-Aug-20,"11,185.70","11,200.15"
07-Aug-20,"11,186.65","11,214.05"
10-Aug-20,"11,270.25","11,270.15"
11-Aug-20,"11,322.25","11,322.50"
12-Aug-20,"11,289.00","11,308.40"
13-Aug-20,"11,334.85","11,300.45"
14-Aug-20,"11,353.30","11,178.40"
17-Aug-20,"11,248.90","11,247.10"
18-Aug-20,"11,259.80","11,385.35"
19-Aug-20,"11,452.15","11,408.40"
20-Aug-20,"11,317.45","11,312.20"
21-Aug-20,"11,409.65","11,371.60"
24-Aug-20,"11,412.00","11,466.45"
25-Aug-20,"11,513.10","11,472.25"
26-Aug-20,"11,512.85","11,549.60"
27-Aug-20,"11,609.30","11,559.25"
28-Aug-20,"11,602.95","11,647.60"
31-Aug-20,"11,777.55","11,387.50"
01-Sep-20,"11,464.30","11,470.25"
02-Sep-20,"11,478.55","11,535.00"
03-Sep-20,"11,566.20","11,527.45"
04-Sep-20,"11,354.40","11,333.85"
07-Sep-20,"11,359.60","11,355.05"
08-Sep-20,"11,378.55","11,317.35"
09-Sep-20,"11,218.60","11,278.00"
10-Sep-20,"11,363.30","11,449.25"
